id,flow1,flow2
0,2.71,2.84
1,0.31,0.34
2,0.16,0.18
3,0.23,0.26
4,0.26,0.28
5,0.24,0.27
6,0.15,0.17
7,0.16,0.17
8,0.27,0.29
9,0.16,0.18
10,0.13,0.14
11,0.31,0.34
12,0.26,0.28
13,2.77,2.91
14,0.24,0.27
15,0.21,0.24
16,0.13,0.15
17,1.09,1.15
18,1.15,1.2
19,0.27,0.3
20,0.84,0.89
21,0.31,0.34
22,0.21,0.23
23,0.27,0.29
24,0.17,0.18
25,0.44,0.49
26,0.28,0.31
27,0.3,0.33
28,2.76,2.91
29,0.32,0.36
30,0.35,0.39
31,2.67,2.81
32,0.15,0.16
33,0.36,0.39
34,0.23,0.28
35,0.78,0.91
36,1.32,1.4
37,0.23,0.26
38,0.25,0.31
39,3.51,3.63
40,4.32,4.47
41,2.64,2.76
42,0.4,0.43
43,0.56,0.62
44,0.31,0.33
45,0.2,0.21
46,0.21,0.24
47,1.6,1.68
48,0.22,0.25
49,0.15,0.16
50,2.93,3.05
51,0.15,0.17
52,0.14,0.15
53,1.33,1.39
54,0.51,0.56
55,0.44,0.47
56,1.26,1.38
57,0.37,0.41
58,0.55,0.6
59,0.13,0.15
60,2.78,2.88
61,0.24,0.27
62,0.27,0.31
63,1.29,1.38
64,1.52,1.59
65,0.16,0.17
66,0.9,0.96
67,0.23,0.26
68,0.4,0.43
69,0.65,0.69
70,0.48,0.52
71,0.33,0.36
72,0.23,0.26
73,0.23,0.26
74,3.22,3.34
75,0.25,0.27
76,0.57,0.62
77,0.13,0.14
78,0.42,0.45
79,0.22,0.27
80,0.31,0.33
81,0.26,0.29
82,2.7,2.79
83,1.72,1.8
84,0.15,0.16
85,1.23,1.29
86,0.2,0.22
87,0.5,0.56
88,0.15,0.17
89,0.17,0.19
90,0.2,0.23
91,1.67,1.78
92,0.5,0.54
93,2.73,2.88
94,0.56,0.62
95,0.19,0.21
96,0.22,0.24
97,0.5,0.57
98,0.56,0.61
99,0.69,0.78
100,1.62,1.7
101,0.16,0.18
102,3.68,3.84
103,0.34,0.37
104,0.14,0.16
105,0.16,0.18
106,0.78,0.83
107,3.27,3.42
108,0.42,0.45
109,0.27,0.29
110,0.19,0.2
111,0.23,0.26
112,1.09,1.16
113,0.22,0.24
114,0.14,0.16
115,0.15,0.17
116,0.22,0.25
117,0.13,0.14
118,1.56,1.64
119,0.29,0.31
120,0.15,0.17
121,0.21,0.23
122,2.28,2.39
123,0.29,0.31
124,0.16,0.18
125,0.26,0.28
126,0.19,0.21
127,0.17,0.2
128,0.25,0.28
129,0.15,0.17
130,0.39,0.41
131,0.19,0.22
132,3.09,3.23
133,0.16,0.18
134,0.35,0.38
135,0.16,0.18
136,0.27,0.3
137,2.03,2.13
138,0.13,0.15
139,0.18,0.21
140,0.14,0.16
141,0.38,0.42
142,3.85,3.99
143,0.14,0.16
144,0.56,0.61
145,0.2,0.24
146,0.2,0.23
147,0.55,0.66
148,0.31,0.33
149,1.39,1.51
150,0.18,0.2
151,0.24,0.29
152,0.42,0.47
153,0.31,0.33
154,0.54,0.59
155,1.68,1.76
156,0.24,0.26
157,0.15,0.17
158,3.3,3.43
159,0.38,0.42
160,0.53,0.58
161,0.16,0.18
162,1.52,1.63
163,0.15,0.17
164,0.16,0.17
165,0.35,0.38
166,1.9,1.99
167,0.2,0.22
168,0.35,0.39
169,0.39,0.44
170,0.25,0.27
171,0.22,0.25
172,0.23,0.29
173,0.29,0.32
174,0.16,0.18
175,1.16,1.24
176,2.85,2.97
177,0.26,0.28
178,0.37,0.4
179,0.47,0.53
180,0.15,0.17
181,2.8,2.94
182,0.37,0.4
183,0.27,0.29
184,0.38,0.43
185,0.18,0.2
186,0.15,0.17
187,0.13,0.15
188,0.23,0.25
189,0.16,0.18
190,0.22,0.24
191,1.13,1.2
192,0.17,0.19
193,0.38,0.41
194,4.37,4.53
195,0.24,0.26
196,4.15,4.33
197,3.08,3.22
198,0.55,0.61
199,0.16,0.18
200,1.69,1.78
201,0.59,0.63
202,0.32,0.35
203,0.24,0.27
204,0.27,0.31
205,0.35,0.39
206,0.14,0.16
207,5.65,5.83
208,0.22,0.26
209,1.71,1.84
210,0.35,0.38
211,0.37,0.45
212,0.27,0.31
213,1.44,1.52
214,0.26,0.28
215,0.18,0.19
216,0.55,0.58
217,0.16,0.18
218,0.32,0.35
219,0.38,0.42
220,0.24,0.26
221,0.97,1.03
222,0.16,0.19
223,0.16,0.18
224,0.49,0.53
225,0.15,0.17
226,0.57,0.62
227,2.73,2.87
228,0.27,0.29
229,0.21,0.23
230,1.44,1.54
231,0.26,0.28
232,0.2,0.22
233,0.14,0.15
234,0.21,0.25
235,0.28,0.3
236,0.42,0.52
237,0.15,0.16
238,1.74,1.82
239,0.62,0.66
240,0.55,0.6
241,0.15,0.17
242,1.82,1.92
243,0.25,0.28
244,0.24,0.29
245,4.96,5.13
246,0.73,0.78
247,0.38,0.42
248,0.31,0.34
249,0.31,0.33
250,1.95,2.08
251,0.47,0.51
252,0.22,0.24
253,0.23,0.28
254,0.18,0.2
255,0.15,0.18
256,0.31,0.38
257,1.04,1.17
258,0.26,0.3
259,0.23,0.25
260,4.21,4.36
261,1.42,1.49
262,0.3,0.33
263,3.42,3.6
264,2.38,2.5
265,0.14,0.16
266,0.33,0.37
267,1.48,1.59
268,0.31,0.33
269,0.3,0.32
270,0.17,0.19
271,0.3,0.32
272,4.64,4.83
273,0.31,0.34
274,0.45,0.49
275,1.02,1.16
276,0.21,0.23
277,1.07,1.14
278,0.46,0.5
279,2.89,2.99
280,1.93,2.03
281,0.28,0.3
282,0.17,0.19
283,0.34,0.36
284,0.37,0.4
285,2.08,2.18
286,2.2,2.31
287,0.16,0.17
288,0.24,0.29
289,0.24,0.26
290,1.91,2
291,3.77,3.91
292,0.16,0.18
293,0.3,0.33
294,0.43,0.47
295,1.12,1.19
296,0.18,0.2
297,0.15,0.17
298,1.95,2.06
299,2.55,2.68
300,0.14,0.16
301,0.25,0.27
302,0.18,0.2
303,2.05,2.16
304,4.64,4.85
305,2.99,3.12
306,0.29,0.31
307,0.16,0.18
308,0.2,0.22
309,1.31,1.43
310,0.28,0.3
311,2.4,2.5
312,0.15,0.17
313,3.05,3.18
314,0.23,0.25
315,1.05,1.11
316,0.32,0.35
317,0.15,0.17
318,0.26,0.3
319,0.16,0.18
320,0.22,0.23
321,5.22,5.45
322,0.19,0.21
323,0.26,0.28
324,1.87,1.97
325,1.22,1.29
326,5.08,5.29
327,0.53,0.59
328,0.53,0.56
329,3.28,3.43
330,0.3,0.33
331,0.22,0.26
332,0.26,0.29
333,5.97,6.15
334,0.3,0.33
335,2.73,2.87
336,4.68,4.81
337,0.16,0.17
338,0.18,0.21
339,0.26,0.28
340,0.69,0.73
341,0.27,0.31
342,0.57,0.6
343,0.22,0.24
344,0.21,0.24
345,0.56,0.62
346,2.06,2.19
347,0.21,0.24
348,0.22,0.26
349,0.14,0.15
350,0.77,0.9
351,1.76,1.85
352,0.34,0.37
353,0.23,0.26
354,0.14,0.16
355,2.7,2.85
356,0.17,0.19
357,0.2,0.22
358,2.48,2.59
359,3.94,4.1
360,0.25,0.27
361,0.55,0.61
362,0.22,0.24
363,0.38,0.42
364,0.14,0.15
365,0.28,0.3
366,0.66,0.74
367,0.13,0.15
368,0.24,0.26
369,0.42,0.49
370,0.42,0.48
371,0.65,0.72
372,0.08,0.06
373,0.43,0.48
374,0.92,1.01
375,0.09,0.11
376,0.44,0.48
377,0.08,0.06
378,0.58,0.64
379,0.46,0.5
380,0.3,0.33
381,0.09,0.08
382,0.06,0.06
383,0.2,0.23
384,0.18,0.2
385,2.9,3.06
386,0.22,0.28
387,0.23,0.25
388,0.42,0.48
389,0.44,0.48
390,0.06,0.06
391,1.22,1.36
392,0.31,0.34
393,0.29,0.32
394,0.65,0.73
395,0.27,0.29
396,0.12,0.14
397,0.7,0.76
398,0.14,0.16
399,0.34,0.41
400,0.39,0.42
401,0.41,0.46
402,2.14,2.25
403,0.53,0.56
404,0.33,0.36
405,0.32,0.38
406,0.07,0.08
407,0.29,0.32
408,0.56,0.61
409,0.07,0.08
410,0.25,0.28
411,0.39,0.44
412,0.08,0.06
413,0.31,0.34
414,0.3,0.34
415,0.48,0.52
416,1.04,1.2
417,3.51,3.74
418,0.17,0.19
419,0.08,0.08
420,0.44,0.52
421,3.98,4.19
422,0.42,0.45
423,0.13,0.15
424,0.28,0.34
425,0.45,0.49
426,0.19,0.22
427,0.43,0.49
428,3.82,4.04
429,3.22,3.38
430,0.64,0.7
431,0.46,0.56
432,0.1,0.12
433,0.32,0.34
434,0.66,0.74
435,0.13,0.15
436,0.78,0.83
437,0.07,0.08
438,0.38,0.42
439,0.35,0.38
440,0.81,0.94
441,2.99,3.22
442,0.18,0.21
443,0.24,0.26
444,0.08,0.06
445,0.38,0.43
446,0.43,0.49
447,0.43,0.47
448,0.55,0.59
449,0.08,0.06
450,0.07,0.08
451,0.28,0.32
452,0.5,0.53
453,0.65,0.73
454,0.26,0.29
455,0.38,0.43
456,0.24,0.31
457,3.76,3.97
458,0.42,0.47
459,0.17,0.22
460,1.75,1.84
461,0.62,0.68
462,0.12,0.14
463,0.29,0.32
464,0.9,0.99
465,0.61,0.65
466,0.3,0.33
467,0.29,0.33
468,0.94,1
469,0.29,0.32
470,0.64,0.72
471,0.07,0.08
472,0.17,0.19
473,0.25,0.28
474,0.42,0.48
475,0.35,0.4
476,0.24,0.27
477,0.3,0.35
478,0.73,0.87
479,0.37,0.42
480,2.37,2.49
481,0.3,0.33
482,0.84,0.92
483,0.22,0.24
484,0.64,0.71
485,0.44,0.53
486,0.2,0.25
487,0.45,0.49
488,0.78,0.85
489,0.11,0.12
490,0.44,0.49
491,0.28,0.3
492,0.09,0.08
493,0.16,0.18
494,0.2,0.23
495,0.15,0.17
496,3.39,3.57
497,0.65,0.72
498,3.15,3.34
499,1.31,1.44
500,0.06,0.06
501,0.37,0.4
502,0.5,0.55
503,0.23,0.25
504,0.3,0.34
505,0.19,0.21
506,0.35,0.38
507,0.09,0.08
508,0.06,0.06
509,1.46,1.6
510,0.07,0.08
511,0.83,1
512,0.07,0.06
513,0.32,0.34
514,0.24,0.27
515,3.09,3.25
516,0.34,0.4
517,0.14,0.15
518,0.64,0.71
519,0.36,0.41
520,0.23,0.26
521,0.39,0.48
522,0.16,0.17
523,0.12,0.14
524,0.18,0.21
525,0.12,0.14
526,0.39,0.42
527,0.12,0.14
528,0.32,0.36
529,0.67,0.74
530,0.08,0.08
531,0.2,0.23
532,0.4,0.44
533,0.3,0.33
534,0.38,0.42
535,0.44,0.49
536,0.11,0.13
537,0.19,0.22
538,0.26,0.28
539,0.36,0.4
540,0.14,0.15
541,0.23,0.26
542,0.52,0.57
543,0.12,0.14
544,0.26,0.28
545,2.64,2.77
546,0.37,0.42
547,0.09,0.11
548,0.43,0.47
549,0.3,0.33
550,0.09,0.11
551,0.6,0.66
552,0.66,0.73
553,0.14,0.19
554,0.06,0.06
555,0.36,0.42
556,1.33,1.4
557,0.74,0.81
558,3.81,4.03
559,0.07,0.08
560,3.03,3.21
561,0.11,0.13
562,0.65,0.73
563,0.38,0.41
564,0.12,0.14
565,0.12,0.15
566,0.42,0.47
567,0.1,0.11
568,0.47,0.51
569,0.28,0.31
570,0.34,0.37
571,2.7,2.86
572,0.12,0.14
573,0.26,0.3
574,0.18,0.2
575,2.84,3.02
576,0.65,0.69
577,0.75,0.8
578,0.9,0.96
579,1.93,2.03
580,0.08,0.06
581,0.65,0.73
582,0.36,0.43
583,0.1,0.11
584,0.33,0.37
585,0.39,0.47
586,0.27,0.29
587,1.23,1.3
588,0.64,0.72
589,0.38,0.43
590,0.12,0.13
591,0.06,0.06
592,0.29,0.32
593,0.12,0.14
594,0.58,0.62
595,0.59,0.74
596,0.11,0.13
597,3.27,3.44
598,0.22,0.24
599,0.25,0.27
600,0.1,0.12
601,0.64,0.72
602,0.38,0.43
603,3.27,3.44
604,0.45,0.49
605,0.25,0.28
606,0.99,1.05
607,0.65,0.72
608,0.88,0.96
609,2.94,3.08
610,0.08,0.08
611,0.13,0.14
612,1.37,1.5
613,0.12,0.14
614,0.31,0.35
615,0.81,0.89
616,0.88,0.99
617,1.94,2.14
618,1.62,1.79
619,3.52,3.7
620,0.07,0.06
621,0.15,0.16
622,0.42,0.47
623,0.37,0.42
624,0.16,0.18
625,0.09,0.08
626,0.3,0.34
627,0.13,0.15
628,0.12,0.14
629,0.4,0.45
630,0.29,0.33
631,0.86,0.91
632,0.24,0.27
633,0.31,0.34
634,0.86,0.95
635,0.33,0.36
636,0.31,0.34
637,0.25,0.27
638,0.48,0.57
639,0.82,0.87
640,0.1,0.12
641,1.04,1.1
642,0.06,0.06
643,1.09,1.15
644,0.66,0.73
645,0.42,0.46
646,0.53,0.64
647,0.2,0.22
648,1.15,1.22
649,1.59,1.67
650,0.71,0.76
651,0.06,0.06
652,0.4,0.43
653,0.41,0.45
654,0.68,0.72
655,0.07,0.08
656,0.06,0.06
657,0.12,0.14
658,0.25,0.28
659,0.07,0.08
660,0.54,0.59
661,0.19,0.22
662,0.31,0.34
663,3.6,3.79
664,0.36,0.39
665,0.34,0.39
666,0.35,0.39
667,3.36,3.57
668,0.31,0.34
669,0.08,0.08
670,0.62,0.76
671,0.4,0.44
672,0.12,0.14
673,1.45,1.53
674,0.2,0.23
675,0.09,0.08
676,0.28,0.31
677,0.3,0.33
678,0.08,0.08
679,0.23,0.25
680,0.1,0.11
681,0.63,0.71
682,0.13,0.15
683,0.31,0.34
684,0.09,0.11
685,0.12,0.14
686,2.43,2.65
687,0.15,0.17
688,0.31,0.38
689,0.42,0.46
690,0.31,0.33
691,0.36,0.39
692,0.41,0.46
693,0.91,1.02
694,3.35,3.54
695,0.13,0.14
696,0.1,0.12
697,3.87,4.07
698,0.2,0.23
699,0.99,1.05
700,4.52,4.78
701,0.08,0.08
702,0.06,0.08
703,1.39,1.46
704,2.48,2.6
705,1.98,2.09
706,0.06,0.08
707,0.07,0.08
708,0.06,0.06
709,3.3,3.46
710,1.47,1.55
711,0.07,0.06
712,3.66,3.87
713,0.06,0.06
714,0.06,0.06
715,1.29,1.36
716,1.1,1.19
717,2.22,2.34
718,0.06,0.06
719,0.06,0.06
720,0.06,0.08
721,2.5,2.6
722,0.08,0.08
723,0.06,0.08
724,0.07,0.08
725,1.11,1.17
726,2.33,2.46
727,1.27,1.37
728,2.12,2.22
729,3.9,4.04
730,4.15,4.35
731,0.06,0.06
732,0.07,0.08
733,0.83,0.89
734,0.07,0.06
735,1.9,2
736,0.06,0.06
737,3.5,3.7
738,0.06,0.06
739,0.07,0.06
740,3,3.15
741,4.36,4.51
742,0.06,0.06
743,0.07,0.08
744,1.56,1.67
745,2.57,2.67
746,0.07,0.06
747,1.5,1.61
748,0.06,0.08
749,0.07,0.08
750,2.3,2.39
751,0.74,0.78
752,4.83,5.02
753,1.66,1.74
754,0.06,0.08
755,0.07,0.08
756,0.08,0.11
757,0.76,0.9
758,3.22,3.39
759,5.04,5.21
760,4.86,5.03
761,2,2.1
762,1.24,1.31
763,0.06,0.06
764,0.06,0.08
765,1.06,1.13
766,0.75,0.8
767,0.09,0.08
768,0.97,1.03
769,3.53,3.66
770,0.06,0.06
771,0.06,0.08
772,0.06,0.08
773,1.38,1.46
774,3.27,3.39
775,0.06,0.06
776,0.06,0.06
777,1.17,1.23
778,1.48,1.58
779,4.1,4.33
780,0.08,0.06
781,0.06,0.08
782,0.07,0.06
783,1.66,1.76
784,1.22,1.29
785,0.06,0.06
786,0.08,0.06
787,0.06,0.08
788,1.06,1.11
789,3.46,3.6
790,0.05,0.06
791,3.97,4.24
792,0.09,0.12
793,1.38,1.46
794,0.07,0.08
795,4.61,4.9
796,0.06,0.08
797,0.07,0.08
798,1.15,1.22
799,0.05,0.06
800,0.95,1.04
801,1.28,1.36
802,0.07,0.08
803,0.85,0.96
804,0.06,0.06
805,0.07,0.08
806,0.06,0.08
807,1.14,1.24
808,0.06,0.08
809,0.1,0.11
810,17.28,17.79
811,1.16,1.22
812,0.72,0.76
813,0.06,0.08
814,0.06,0.06
815,0.06,0.06
816,0.08,0.06
817,0.06,0.06
818,1.22,1.31
819,0.06,0.08
820,2.92,3.09
821,0.73,0.77
822,0.07,0.08
823,1.33,1.42
824,1.45,1.54
825,0.06,0.08
826,0.07,0.08
827,3.2,3.34
828,0.79,0.84
829,2.51,2.64
830,0.06,0.08
831,0.05,0.06
832,5.48,5.76
833,4.27,4.44
834,0.71,0.86
835,13.55,13.99
836,0.06,0.08
837,0.72,0.77
838,1.2,1.29
839,1.42,1.5
840,0.06,0.06
841,1.24,1.31
842,2.96,3.08
843,8.42,8.71
844,0.06,0.08
845,0.07,0.08
846,0.06,0.08
847,0.73,0.78
848,0.07,0.08
849,5.71,5.93
850,0.6,0.63
851,3.68,3.86
852,0.06,0.06
853,1.1,1.15
854,0.07,0.08
855,0.06,0.06
856,1.12,1.19
857,7.95,9.11
858,0.07,0.08
859,0.07,0.08
860,1.29,1.35
861,4.92,5.08
862,0.09,0.11
863,0.05,0.06
864,1.34,1.41
865,0.06,0.06
866,0.07,0.08
867,0.06,0.06
868,0.56,0.74
869,4.02,4.19
870,0.08,0.08
871,0.06,0.06
872,0.08,0.06
873,0.09,0.08
874,0.78,0.82
875,0.08,0.08
876,0.07,0.08
877,1.3,1.37
878,2.08,2.2
879,0.88,0.94
880,0.06,0.08
881,4.08,4.24
882,1.37,1.45
883,0.06,0.08
884,0.07,0.06
885,70.92,73.83
886,1.02,1.09
887,1.42,1.51
888,3.88,4.05
889,3.51,3.72
890,0.68,0.84
891,66.83,69.56
892,0.08,0.11
893,3.27,3.45
894,0.06,0.06
895,1.04,1.09
896,1.76,1.86
897,0.06,0.06
